City                     Our Filename       WBAN (old)  WMO (gsod)
WARSAW                   PLWARSAW                         123750
WINDHOEK                 NMWNDHOK                         681100
YEREVAN                  RSYERVAN                         377890
ZAGREB                   YGZAGREB                         142400
ZURICH                   SWZURICH                         066600
AUCKLAND                 NZACKLND                         931190
BRISBANE                 AUBRSBAN                         945780
CANBERRA                 AUCNBERA                         949260
PERTH                    AUPERTH                          946100
GUADALAJARA              MXGUADLJ                         766120
MONTERREY                MXMONTRY                         763940
HALIFAX                  CNHLIFAX                         713950
HAMILTON                 BEHMLTON                         780160
NASSAU                   BANASSAU                         780730
PORT AU PRINCE           HAPORTAP                         784390
